"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-04-30,60753,"07676","NJ","New York","Bergen","Washington Township",8517,501600,0.00500901622921258,0.0147683592959741,0.0387243735763098,0.0335522315905654,-0.00983333689453747,"2006-08","2006-Q3",571100,-0.121694974610401,"2004-11"
2017-04-30,67751,"23507","VA","Virginia Beach","Norfolk City","Norfolk",8518,386500,-0.00412264880185519,-0.0197818919604362,-0.000517196793379881,0.025727476752359,-0.0035767436791766,"2006-06","2006-Q2",412900,-0.0639379995156212,"2005-09"
2017-04-30,86878,"65619","MO","Springfield","Greene","Battlefield",8519,140500,0,-0.00846859562455893,-0.0181691125087351,0.0184920884986457,-0.00148250192736132,"2016-10","2016-Q4",145000,-0.0310344827586207,"2016-02"
2017-04-30,58839,"02648","MA","Cape Cod","Barnstable","Barnstable",8520,341800,0.00736811081638668,0.0202985074626866,0.0261182827979586,0.0409165614288971,-0.000525104027459089,"2005-04","2005-Q2",375600,-0.0899893503727369,"2004-06"
2017-04-30,65765,"19095","PA","Philadelphia","Montgomery","Abington",8521,317900,0.00505848877647803,0.0015752993068683,0.0543946932006633,0.0261546683012879,-0.000595715739188596,"2006-06","2006-Q2",330300,-0.0375416288222828,"2005-07"
2017-04-30,68232,"24590","VA","Charlottesville","Albemarle","Scottsville",8522,180500,0.00837988826815642,0.0279043280182232,0.0567915690866511,0.0275056026455969,-0.0138433435214,"2007-01","2007-Q1",208200,-0.133045148895293,"2005-04"
2017-04-30,73258,"35005","AL","Birmingham","Jefferson","Adamsville",8523,73100,0,-0.0108254397834912,-0.00272851296043656,0.00109799880305106,-0.0198182958562315,"2007-02","2007-Q1",90400,-0.191371681415929,"2000-11"
2017-04-30,60709,"07524","NJ","New York","Passaic","Paterson",8524,173100,-0.00115406809001731,0.00115673799884326,-0.0187074829931973,0.00708035332651291,-0.0662905515385401,"2007-09","2007-Q3",349600,-0.504862700228833,"2002-09"
2017-04-30,82061,"55042","MN","Minneapolis-St Paul","Washington","Lake Elmo",8525,418000,0.00360144057623049,0.00868725868725869,0.0277846078190312,0.0357927670337197,-0.000143427462012236,"2005-04","2005-Q2",428300,-0.0240485640905907,"2004-10"
2017-04-30,63922,"15139","PA","Pittsburgh","Allegheny","Oakmont",8526,185100,0.00216567406605306,0.017032967032967,0.0837236533957845,0.0453291313809467,0.0339964651003111,"2017-04","2017-Q2",185100,0,"2017-04"
2017-04-30,78342,"46923","IN","Lafayette-West Lafayette","Carroll","Delphi",8527,96000,-0.00104058272632674,0.0115911485774499,0.00418410041841004,0.0335449412282756,0.00703559091139239,"2005-12","2005-Q4",100200,-0.0419161676646707,"2004-05"
2017-04-30,72702,"33597","FL","Tampa","Hernando","Webster",8528,129100,-0.00231839258114374,-0.0137509549274255,-0.0372856077554064,0.0262723720087281,,"2015-05","2015-Q2",153300,-0.157860404435747,"2014-06"
2017-04-30,82301,"55454","MN","Minneapolis-St Paul","Hennepin","Minneapolis",8529,160800,0.00311915159076731,0.00688791484032561,0.0482398956975228,0.0912747318860261,-0.00589856259719779,"2006-05","2006-Q2",181400,-0.113561190738699,"2004-09"
2017-04-30,77078,"44231","OH","Akron","Portage","Garrettsville",8530,152600,-0.00715679895901106,-0.0142118863049096,0.00328731097961867,0.0213551880629819,-0.00416259393786766,"2006-12","2006-Q4",162400,-0.0603448275862069,"2004-07"
2017-04-30,78234,"46737","IN","Angola","Steuben","Fremont",8531,184500,-0.00592672413793103,-0.031496062992126,0.0255697609783213,0.0401997559164708,,"2016-11","2016-Q4",194800,-0.0528747433264887,"2016-10"
2017-04-30,92353,"78257","TX","San Antonio","Bexar","San Antonio",8532,614500,0.00589294483548862,0.00787272429063474,0.063332756532272,0.0101990044889499,0.00713992856728463,"2010-12","2010-Q4",616800,-0.00372892347600519,"2010-11"
2017-04-30,61016,"08225","NJ","Atlantic City","Atlantic","Northfield",8533,186800,0.0113697888467786,0.0141150922909881,0.0529875986471251,-0.00865705439106523,-0.0380398840000239,"2006-05","2006-Q2",303300,-0.384108143752061,"2003-08"
2017-04-30,70636,"29655","SC","Greenville","Anderson","Iva",8534,79200,0.00763358778625954,0.0285714285714286,0.115492957746479,0.0474977711895777,,"2017-04","2017-Q2",79200,0,"2017-04"
2017-04-30,96021,"90040","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Commerce",8535,412800,0.00364697301239971,0.0210239920850853,0.0775254502740799,0.107101864796476,-0.012006652274496,"2007-05","2007-Q2",466400,-0.114922813036021,"2005-12"
2017-04-30,62264,"11792","NY","New York","Suffolk","Wading River",8536,411400,0.0153010858835143,0.0486872291613561,0.054601384260446,0.0256312745084417,-0.0189220962499879,"2006-06","2006-Q2",517200,-0.204563031709203,"2004-05"
2017-04-30,84126,"59635","MT","Helena","Lewis and Clark","East Helena",8537,156300,-0.000639386189258312,0.0044987146529563,0.0136186770428016,0.0148420930156363,0.0103549802573377,"2009-11","2009-Q4",176100,-0.112436115843271,"2009-03"
2017-04-30,58580,"02025","MA","Boston","Norfolk","Cohasset",8538,810800,-0.00356396706402851,-0.011219512195122,0.0393539289834637,0.0419518353931956,0.0167215349882035,"2016-12","2016-Q4",821800,-0.0133852518861037,"2016-10"
2017-04-30,79723,"49404","MI","Grand Rapids","Ottawa","Coopersville",8539,169600,0.00236406619385343,0.00414446417998816,0.0593379138038726,0.0637787222602224,0.0107507868406604,"2017-04","2017-Q2",169600,0,"2017-04"
2017-04-30,60330,"06471","CT","New Haven","New Haven","North Branford",8540,243400,0.0103777501037775,0.0209731543624161,0.0201173512154233,0.00542829396416389,-0.0173988128315962,"2006-05","2006-Q2",309900,-0.21458535011294,"2004-05"
2017-04-30,61236,"08884","NJ","New York","Middlesex","Spotswood",8541,300300,-0.00364963503649635,0.00535654502845665,0.0405405405405405,0.0229436332094726,-0.0164279886618051,"2007-02","2007-Q1",359100,-0.16374269005848,"2004-12"
2017-04-30,61836,"10523","NY","New York","Westchester","Elmsford",8542,398900,-0.00795821934842079,-0.00449213875717494,0.0404277516953573,0.0363383411384757,-0.0241748999297794,"2007-02","2007-Q1",514200,-0.224231816413847,"2003-12"
2017-04-30,71692,"31808","GA","Columbus","Harris","Cataula",8543,215600,0.00232450023245002,0.0126820103334899,-0.00323624595469256,0.016972059693324,-0.00201823135843038,"2008-03","2008-Q1",233800,-0.0778443113772455,"2006-06"
2017-04-30,74622,"38059","TN","Dyersburg","Dyer","Newbern",8544,79100,-0.00377833753148615,-0.0124843945068664,0.00764331210191083,0.0359352019660386,0.00791964660471423,"2015-02","2015-Q1",81000,-0.0234567901234568,"2015-01"
2017-04-30,58879,"02739","MA","Boston","Plymouth","Mattapoisett",8545,430800,-0.00622837370242215,0.000232180171813327,0.0621301775147929,0.0432530483285174,-0.00328256796641946,"2005-09","2005-Q3",470300,-0.083988943227727,"2004-09"
2017-04-30,64608,"16438","PA","Erie","Erie","Union City",8546,91700,0.00328227571115974,0.0110253583241455,0.0638051044083527,0.0256320767188192,0.0194941874141092,"2017-04","2017-Q2",91700,0,"2017-04"
2017-04-30,61985,"11023","NY","New York","Nassau","Great Neck",8547,1147200,-0.000174307129161583,-0.00786992994897518,0.0682558897476488,0.0719831061995002,0.0137562012568777,"2016-12","2016-Q4",1160700,-0.0116309123804601,"2016-11"
2017-04-30,98616,"96094","CA",,"Siskiyou","Weed",8548,177800,0.0218390804597701,0.0583333333333333,0.15006468305304,0.0904869931403591,-0.0197266356945109,"2006-04","2006-Q2",237700,-0.251998317206563,"2004-11"
2017-04-30,80901,"52233","IA","Cedar Rapids","Linn","Hiawatha",8549,121100,0.0150880134115675,0.0245346869712352,0.0116959064327485,0.0181207867984654,0.000496813133618712,"2008-05","2008-Q2",126400,-0.0419303797468354,"2007-06"
2017-04-30,96275,"91020","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","La Crescenta-Montrose",8550,652300,0.0041564039408867,0.0211333750782718,0.108788033316335,0.103801653202116,0.00819105672688836,"2017-04","2017-Q2",652300,0,"2017-04"
2017-04-30,75278,"39365","MS",,"Newton","Union",8551,101700,0.00394866732477789,0.0099304865938431,0.0441478439425051,0.010761715417305,0.0313356616831806,"2017-04","2017-Q2",101700,0,"2017-04"
2017-04-30,61210,"08848","NJ","New York","Hunterdon","Holland Township",8552,298600,-0.00233879051119278,-0.00698370468905886,0.0566171266808209,0.0193609721661341,-0.0184716130150691,"2006-06","2006-Q2",394900,-0.24385920486199,"2003-09"
2017-04-30,79156,"48356","MI","Detroit","Oakland","Highland",8553,195600,0.00153609831029186,0.0139968895800933,0.0872707059477487,0.0950890866389686,0.00504519272818138,"2005-12","2005-Q4",204100,-0.0416462518373346,"2004-11"
2017-04-30,64475,"16150","PA","Youngstown","Mercer","Sharpsville",8554,91000,0.019036954087346,0.0459770114942529,-0.00109769484083425,0.00221241101480318,-0.000219514959408418,"2008-11","2008-Q4",105800,-0.139886578449905,"2008-06"
2017-04-30,81993,"54944","WI","Appleton","Outagamie","Hortonville",8555,199400,0.00859888720283257,0.0342323651452282,0.0784207679826933,0.0389779027328399,0.0226421375647901,"2017-04","2017-Q2",199400,0,"2017-04"
2017-04-30,58825,"02633","MA","Cape Cod","Barnstable","Chatham",8556,629300,0.00302837105514823,0.00655790147152911,0.0138553246334783,0.0305472199543189,0.000493950117259834,"2006-05","2006-Q2",664800,-0.0533995186522262,"2005-07"
2017-04-30,63071,"13340","NY","Utica","Herkimer","Town of Frankfort",8557,106400,0.0094876660341556,0.0104463437796771,0.0410958904109589,0.0420408565129602,0.0145377229368922,"2017-04","2017-Q2",106400,0,"2017-04"
2017-04-30,71513,"31329","GA","Savannah","Effingham","Springfield",8558,133000,-0.00672143390589993,0,-0.00967982129560685,0.0235286123784171,-0.0178205171008419,"2008-07","2008-Q3",175000,-0.24,"2003-10"
2017-04-30,65129,"17584","PA","Lancaster","Lancaster","Willow Street",8559,208400,0.00192307692307692,0.00773694390715667,0.0281203749383325,0.028707318548358,0.00287607031046955,"2017-04","2017-Q2",208400,0,"2017-04"
2017-04-30,58599,"02054","MA","Boston","Norfolk","Millis",8560,387300,0.000775193798449612,0.00597402597402598,0.0833566433566434,0.0477035810748299,0.00739231575438692,"2017-04","2017-Q2",387300,0,"2017-04"
2017-04-30,91484,"76571","TX","Killeen","Bell","Salado",8561,233600,0.00386764073914912,0.00863557858376511,0.0147697654213727,0.0245719680626704,0.0153969303383275,"2017-04","2017-Q2",233600,0,"2017-04"
2017-04-30,88690,"70584","LA","Opelousas","Saint Landry","Sunset",8562,167900,0.0029868578255675,0.0553111250785669,0.100983606557377,0.0340760278623047,0.0310223971033967,"2017-04","2017-Q2",167900,0,"2017-04"
2017-04-30,94461,"84101","UT","Salt Lake City","Salt Lake","Salt Lake City",8563,282800,0.00604766986837424,0.0238957277335264,0.0752851711026616,0.063981632034952,0.0261779466750323,"2017-04","2017-Q2",282800,0,"2017-04"
2017-04-30,99270,"97423","OR","Coos Bay","Coos","Coquille",8564,173400,0.00463499420625724,0.0266429840142096,0.112251443232842,0.069881994619504,0.00168799983280121,"2017-04","2017-Q2",173400,0,"2017-04"
2017-04-30,59185,"03755","NH","Claremont","Grafton","Town of Hanover",8565,454000,0.000881834215167548,-0.0043859649122807,0.00821674439262714,0.023509572323557,0.00428426804302462,"2017-01","2017-Q1",456000,-0.0043859649122807,"2016-11"
