PED,BIC,AVS,FTC,ZCD,POP,AHI,ZHV,ALB,APP
1,1,2,3,15212,31850,26712,87500,6275,4
2,2,2,1,15212,31850,26712,87500,6275,2
1,1,1,2,15212,31850,26712,87500,6275,4
1,1,1,1,15212,31850,26712,87500,6275,4
1,2,1,2,15212,31850,26712,87500,6275,3
1,1,1,2,15212,31850,26712,87500,6275,4
1,0,1,3,15212,31850,26712,87500,6275,4
0,1,1,2,15212,31850,26712,87500,6275,4
1,1,1,2,15212,31850,26712,87500,6275,4
1,0,1,1,15212,31850,26712,87500,6275,4
1,0,0,1,15212,31850,26712,87500,6275,0
1,1,0,0,15212,31850,26712,87500,6275,1
0,1,2,1,15212,31850,26712,87500,6275,3
2,1,1,4,15212,31850,26712,87500,6275,4
1,1,2,2,15212,31850,26712,87500,6275,2
1,1,1,1,15212,31850,26712,87500,6275,4
1,0,1,1,15212,31850,26712,87500,6275,4
1,1,1,2,15212,31850,26712,87500,6275,4
1,1,1,2,15212,31850,26712,87500,6275,4
2,2,1,2,15212,31850,26712,87500,6275,4
1,0,1,2,15212,31850,26712,87500,6275,3
0,1,2,1,15212,31850,26712,87500,6275,3
2,2,1,2,15212,31850,26712,87500,6275,4
0,0,0,1,15212,31850,26712,87500,6275,1
0,0,1,1,15212,31850,26712,87500,6275,2
0,0,2,2,15212,31850,26712,87500,6275,0
0,0,2,2,15212,31850,26712,87500,6275,4
2,2,1,1,15212,31850,26712,87500,6275,4
0,0,1,0,15212,31850,26712,87500,6275,3
0,1,1,2,15212,31850,26712,87500,6275,4
0,0,1,1,15212,31850,26712,87500,6275,1
0,0,1,3,15212,31850,26712,87500,6275,4
0,0,2,1,15212,31850,26712,87500,6275,2
0,0,0,1,15212,31850,26712,87500,6275,0
0,0,2,2,15212,31850,26712,87500,6275,3
0,0,2,1,15212,31850,26712,87500,6275,1
2,2,2,2,15212,31850,26712,87500,6275,4
0,2,2,0,15212,31850,26712,87500,6275,2
0,0,1,2,15212,31850,26712,87500,6275,4
1,1,2,2,15212,31850,26712,87500,6275,2
1,1,1,3,15212,31850,26712,87500,6275,4
1,1,1,3,15212,31850,26712,87500,6275,3
0,1,1,2,15212,31850,26712,87500,6275,3
1,1,1,1,15212,31850,26712,87500,6275,2
1,1,1,3,15212,31850,26712,87500,6275,4
0,1,1,1,15212,31850,26712,87500,6275,3
0,1,1,2,15212,31850,26712,87500,6275,3
1,1,1,2,15212,31850,26712,87500,6275,4
0,1,2,3,15212,31850,26712,87500,6275,3
0,1,1,2,15212,31850,26712,87500,6275,3
1,1,2,3,15212,31850,26712,87500,6275,4
1,1,1,2,15212,31850,26712,87500,6275,1
0,1,1,4,15212,31850,26712,87500,6275,4
1,1,1,2,15212,31850,26712,87500,6275,4
1,1,1,4,15212,31850,26712,87500,6275,4
0,0,1,1,15212,31850,26712,87500,6275,2
2,0,1,1,15212,31850,26712,87500,6275,1
0,0,1,3,15212,31850,26712,87500,6275,3
0,0,2,1,15212,31850,26712,87500,6275,3
1,0,2,1,15213,28320,18473,168900,3570,0
1,1,2,3,15213,28320,18473,168900,3570,1
1,1,1,3,15213,28320,18473,168900,3570,4
1,1,2,2,15213,28320,18473,168900,3570,1
1,2,1,2,15213,28320,18473,168900,3570,3
1,1,1,3,15213,28320,18473,168900,3570,2
1,1,1,4,15213,28320,18473,168900,3570,4
0,1,2,2,15213,28320,18473,168900,3570,2
1,1,2,1,15213,28320,18473,168900,3570,3
1,1,1,3,15213,28320,18473,168900,3570,3
2,1,1,3,15213,28320,18473,168900,3570,4
0,2,1,4,15213,28320,18473,168900,3570,4
2,1,1,1,15213,28320,18473,168900,3570,4
0,1,1,2,15213,28320,18473,168900,3570,3
1,1,2,2,15213,28320,18473,168900,3570,2
0,1,1,3,15213,28320,18473,168900,3570,4
0,0,1,0,15213,28320,18473,168900,3570,3
0,0,1,3,15213,28320,18473,168900,3570,4
0,0,1,3,15213,28320,18473,168900,3570,3
0,0,1,3,15213,28320,18473,168900,3570,4
0,0,0,3,15213,28320,18473,168900,3570,0
0,0,1,0,15213,28320,18473,168900,3570,4
0,1,1,2,15213,28320,18473,168900,3570,4
0,0,1,2,15213,28320,18473,168900,3570,4
1,1,1,1,15213,28320,18473,168900,3570,1
0,1,1,1,15213,28320,18473,168900,3570,1
1,1,1,3,15213,28320,18473,168900,3570,4
1,2,2,2,15213,28320,18473,168900,3570,4
1,1,1,4,15213,28320,18473,168900,3570,4
2,1,1,3,15213,28320,18473,168900,3570,3
1,1,2,1,15213,28320,18473,168900,3570,3
1,2,2,2,15213,28320,18473,168900,3570,4
2,1,1,3,15213,28320,18473,168900,3570,4
1,1,1,4,15214,17519,30725,109100,3274,4
1,1,1,2,15214,17519,30725,109100,3274,4
0,0,1,3,15214,17519,30725,109100,3274,4
0,0,1,1,15214,17519,30725,109100,3274,2
1,1,2,2,15214,17519,30725,109100,3274,4
0,0,2,1,15214,17519,30725,109100,3274,4
1,0,2,2,15215,13212,43750,217500,3570,0
0,1,1,4,15215,13212,43750,217500,3570,4
1,1,1,4,15215,13212,43750,217500,3570,4
0,1,2,2,15215,13212,43750,217500,3570,3
0,2,1,2,15215,13212,43750,217500,3570,4
0,0,1,2,15215,13212,43750,217500,3570,4
0,0,1,2,15215,13212,43750,217500,3570,4
0,0,1,1,15215,13212,43750,217500,3570,3
0,0,2,0,15215,13212,43750,217500,3570,2
1,0,1,4,15215,13212,43750,217500,3570,4
2,1,1,2,15215,13212,43750,217500,3570,4
0,0,2,2,15215,13212,43750,217500,3570,1
0,0,1,1,15215,13212,43750,217500,3570,2
1,0,1,2,15216,24691,39526,127500,5394,4
1,0,1,1,15216,24691,39526,127500,5394,2
0,1,1,2,15216,24691,39526,127500,5394,4
1,0,1,1,15216,24691,39526,127500,5394,2
0,0,1,2,15216,24691,39526,127500,5394,4
1,1,1,4,15216,24691,39526,127500,5394,4
2,1,1,2,15216,24691,39526,127500,5394,3
0,0,1,3,15216,24691,39526,127500,5394,2
0,0,2,1,15216,24691,39526,127500,5394,3
1,0,1,3,15216,24691,39526,127500,5394,4
0,0,2,1,15216,24691,39526,127500,5394,2
2,2,1,2,15216,24691,39526,127500,5394,2
2,1,1,0,15216,24691,39526,127500,5394,4
1,0,1,1,15216,24691,39526,127500,5394,4
0,1,2,3,15216,24691,39526,127500,5394,4
0,1,1,1,15216,24691,39526,127500,5394,3
0,0,1,2,15216,24691,39526,127500,5394,4
0,0,2,1,15216,24691,39526,127500,5394,4
0,1,0,2,15217,26425,45173,309200,6643,0
1,0,2,2,15217,26425,45173,309200,6643,2
1,1,2,2,15217,26425,45173,309200,6643,1
1,0,2,2,15217,26425,45173,309200,6643,4
1,1,1,1,15217,26425,45173,309200,6643,4
0,1,2,2,15217,26425,45173,309200,6643,3
2,1,2,1,15217,26425,45173,309200,6643,4
0,1,1,2,15217,26425,45173,309200,6643,4
1,0,1,3,15217,26425,45173,309200,6643,4
2,1,1,2,15217,26425,45173,309200,6643,2
1,0,1,3,15217,26425,45173,309200,6643,4
1,1,2,1,15217,26425,45173,309200,6643,0
1,0,1,2,15217,26425,45173,309200,6643,3
0,1,1,1,15217,26425,45173,309200,6643,4
0,1,1,2,15217,26425,45173,309200,6643,4
0,1,2,2,15217,26425,45173,309200,6643,4
1,2,2,0,15217,26425,45173,309200,6643,4
1,0,2,4,15217,26425,45173,309200,6643,2
0,1,1,4,15217,26425,45173,309200,6643,4
1,1,1,4,15217,26425,45173,309200,6643,4
0,1,1,2,15217,26425,45173,309200,6643,4
1,1,1,2,15217,26425,45173,309200,6643,4
1,2,1,1,15217,26425,45173,309200,6643,4
0,1,1,2,15217,26425,45173,309200,6643,4
1,2,1,3,15217,26425,45173,309200,6643,4
1,1,2,3,15217,26425,45173,309200,6643,4
0,1,1,3,15217,26425,45173,309200,6643,2
0,1,0,1,15217,26425,45173,309200,6643,0
2,1,1,2,15217,26425,45173,309200,6643,3
0,1,1,1,15217,26425,45173,309200,6643,4
1,0,2,2,15217,26425,45173,309200,6643,2
1,0,1,2,15217,26425,45173,309200,6643,3
2,1,2,3,15217,26425,45173,309200,6643,3
1,1,1,1,15217,26425,45173,309200,6643,4
1,1,1,4,15217,26425,45173,309200,6643,4
2,2,0,2,15217,26425,45173,309200,6643,4
0,2,1,2,15217,26425,45173,309200,6643,4
0,2,1,2,15217,26425,45173,309200,6643,4
0,0,1,2,15217,26425,45173,309200,6643,3
0,0,1,3,15217,26425,45173,309200,6643,4
0,0,1,1,15217,26425,45173,309200,6643,4
0,0,1,2,15217,26425,45173,309200,6643,4
2,0,1,0,15217,26425,45173,309200,6643,3
0,1,1,2,15217,26425,45173,309200,6643,4
0,0,1,4,15217,26425,45173,309200,6643,4
0,0,1,3,15217,26425,45173,309200,6643,4
0,0,1,2,15217,26425,45173,309200,6643,4
0,0,1,4,15217,26425,45173,309200,6643,4
2,2,2,2,15217,26425,45173,309200,6643,4
0,1,1,2,15217,26425,45173,309200,6643,3
0,2,1,2,15217,26425,45173,309200,6643,4
0,0,1,3,15217,26425,45173,309200,6643,4
0,0,1,2,15217,26425,45173,309200,6643,3
0,1,2,2,15217,26425,45173,309200,6643,1
1,0,1,3,15217,26425,45173,309200,6643,4
2,2,1,4,15217,26425,45173,309200,6643,4
1,1,1,4,15217,26425,45173,309200,6643,4
0,2,1,3,15217,26425,45173,309200,6643,4
1,2,1,3,15217,26425,45173,309200,6643,4
0,0,1,2,15217,26425,45173,309200,6643,4
0,0,1,3,15217,26425,45173,309200,6643,4
0,0,2,3,15217,26425,45173,309200,6643,2
0,1,2,3,15217,26425,45173,309200,6643,0
0,0,1,2,15217,26425,45173,309200,6643,4
0,0,1,2,15217,26425,45173,309200,6643,4
2,2,2,0,15217,26425,45173,309200,6643,2
0,0,1,2,15217,26425,45173,309200,6643,4
2,2,2,1,15217,26425,45173,309200,6643,1
0,0,2,1,15217,26425,45173,309200,6643,3
1,1,1,3,15217,26425,45173,309200,6643,4
0,1,1,2,15217,26425,45173,309200,6643,4
1,1,1,2,15217,26425,45173,309200,6643,4
1,1,2,2,15217,26425,45173,309200,6643,1
1,1,1,2,15217,26425,45173,309200,6643,3
1,1,1,1,15217,26425,45173,309200,6643,4
1,1,1,4,15217,26425,45173,309200,6643,4
1,1,1,2,15217,26425,45173,309200,6643,3
1,1,1,4,15217,26425,45173,309200,6643,4
0,0,1,2,15217,26425,45173,309200,6643,4
1,1,1,3,15217,26425,45173,309200,6643,4
1,1,1,2,15217,26425,45173,309200,6643,4
2,1,1,2,15217,26425,45173,309200,6643,3
0,1,1,2,15217,26425,45173,309200,6643,2
1,1,2,2,15217,26425,45173,309200,6643,2
1,1,1,2,15217,26425,45173,309200,6643,4
0,1,1,2,15217,26425,45173,309200,6643,3
